y, v, a, t
436.4645600004944,-40.37599999999033,1.8666666666666654,106.12
436.06098666716116,-40.35733333332366,1.8666666666666654,106.13
435.6576000004946,-40.33866666665699,1.8666666666666654,106.14
435.2544000004947,-40.31999999999032,1.8666666666666654,106.15
434.8513866671614,-40.301333333323655,1.8666666666666654,106.16
434.44856000049487,-40.282666666656986,1.8666666666666654,106.17
434.04592000049496,-40.26399999999032,1.8666666666666654,106.18
433.6434666671617,-40.24533333332365,1.8666666666666654,106.19
433.24120000049516,-40.22666666665698,1.8666666666666654,106.2
432.83912000049526,-40.207999999990314,1.8666666666666654,106.21000000000001
432.437226667162,-40.189333333323646,1.8666666666666654,106.22
432.03552000049547,-40.17066666665698,1.8666666666666654,106.23
431.6340000004956,-40.15199999999031,1.8666666666666654,106.24000000000001
431.23266666716233,-40.13333333332364,1.8666666666666654,106.25
430.83152000049574,-40.11466666665697,1.8666666666666654,106.26
430.43056000049586,-40.095999999990305,1.8666666666666654,106.27
430.0297866671626,-40.07733333332364,1.8666666666666654,106.28
429.62920000049604,-40.05866666665697,1.8666666666666654,106.29
429.22880000049616,-40.0399999999903,1.8666666666666654,106.3
428.82858666716294,-40.02133333332363,1.8666666666666654,106.31
428.42856000049636,-40.002666666656964,1.8666666666666654,106.32000000000001
428.02872000049643,-39.983999999990296,1.8666666666666654,106.33
427.6290666671632,-39.96533333332363,1.8666666666666654,106.34
427.22960000049665,-39.94666666665696,1.8666666666666654,106.35000000000001
426.8303200004967,-39.92799999999029,1.8666666666666654,106.36
426.4312266671635,-39.90933333332362,1.8666666666666654,106.37
426.03232000049695,-39.890666666656955,1.8666666666666654,106.38
425.63360000049704,-39.87199999999029,1.8666666666666654,106.39
425.2350666671638,-39.85333333332362,1.8666666666666654,106.4
424.8367200004972,-39.83466666665695,1.8666666666666654,106.41
424.4385600004973,-39.81599999999028,1.8666666666666654,106.42
424.04058666716406,-39.797333333323614,1.8666666666666654,106.43
423.6428000004975,-39.778666666656946,1.8666666666666654,106.44
423.2452000004976,-39.75999999999028,1.8666666666666654,106.45
422.84778666716437,-39.74133333332361,1.8666666666666654,106.46000000000001
422.4505600004978,-39.72266666665694,1.8666666666666654,106.47
422.0535200004979,-39.70399999999027,1.8666666666666654,106.48
421.65666666716464,-39.685333333323605,1.8666666666666654,106.49000000000001
421.26000000049805,-39.66666666665694,1.8666666666666654,106.5
420.86352000049817,-39.64799999999027,1.8666666666666654,106.51
420.46722666716494,-39.6293333333236,1.8666666666666654,106.52
420.07112000049835,-39.61066666665693,1.8666666666666654,106.53
419.6752000004985,-39.591999999990264,1.8666666666666654,106.54
419.27946666716525,-39.573333333323596,1.8666666666666654,106.55
418.8839200004987,-39.55466666665693,1.8666666666666654,106.56
418.48856000049875,-39.53599999999026,1.8666666666666654,106.57000000000001
418.09338666716553,-39.51733333332359,1.8666666666666654,106.58
417.69840000049896,-39.49866666665692,1.8666666666666654,106.59
417.30360000049905,-39.479999999990255,1.8666666666666654,106.60000000000001
416.90898666716583,-39.46133333332359,1.8666666666666654,106.61
416.5145600004993,-39.44266666665692,1.8666666666666654,106.62
416.12032000049936,-39.42399999999025,1.8666666666666654,106.63
415.7262666671661,-39.40533333332358,1.8666666666666654,106.64
415.33240000049955,-39.386666666656915,1.8666666666666654,106.65
414.93872000049964,-39.367999999990246,1.8666666666666654,106.66
414.5452266671664,-39.34933333332358,1.8666666666666654,106.67
414.15192000049984,-39.33066666665691,1.8666666666666654,106.68
413.75880000049995,-39.31199999999024,1.8666666666666654,106.69
413.3658666671667,-39.293333333323574,1.8666666666666654,106.7
412.9731200005001,-39.274666666656906,1.8666666666666654,106.71000000000001
412.5805600005002,-39.25599999999024,1.8666666666666654,106.72
412.188186667167,-39.23733333332357,1.8666666666666654,106.73
411.7960000005004,-39.2186666666569,1.8666666666666654,106.74000000000001
411.4040000005005,-39.19999999999023,1.8666666666666654,106.75
411.01218666716727,-39.181333333323565,1.8666666666666654,106.76
410.6205600005007,-39.1626666666569,1.8666666666666654,106.77
410.2291200005008,-39.14399999999023,1.8666666666666654,106.78
409.8378666671676,-39.12533333332356,1.8666666666666654,106.79
409.446800000501,-39.10666666665689,1.8666666666666654,106.8
409.0559200005011,-39.087999999990224,1.8666666666666654,106.81
408.6652266671679,-39.069333333323556,1.8666666666666654,106.82000000000001
408.2747200005013,-39.05066666665689,1.8666666666666654,106.83
407.8844000005014,-39.03199999999022,1.8666666666666654,106.84
407.4942666671682,-39.01333333332355,1.8666666666666654,106.85000000000001
407.1043200005016,-38.99466666665688,1.8666666666666654,106.86
406.7145600005017,-38.975999999990215,1.8666666666666654,106.87
406.32498666716845,-38.95733333332355,1.8666666666666654,106.88
405.9356000005019,-38.93866666665688,1.8666666666666654,106.89
405.546400000502,-38.91999999999021,1.8666666666666654,106.9
405.15738666716874,-38.90133333332354,1.8666666666666654,106.91
404.7685600005022,-38.882666666656874,1.8666666666666654,106.92
404.3799200005023,-38.863999999990206,1.8666666666666654,106.93
403.99146666716905,-38.84533333332354,1.8666666666666654,106.94
403.60320000050245,-38.82666666665687,1.8666666666666654,106.95
403.21512000050257,-38.8079999999902,1.8666666666666654,106.96000000000001
402.8272266671693,-38.78933333332353,1.8666666666666654,106.97
402.43952000050274,-38.770666666656865,1.8666666666666654,106.98
402.05200000050286,-38.7519999999902,1.8666666666666654,106.99000000000001
401.6646666671696,-38.73333333332353,1.8666666666666654,107.0
401.27752000050305,-38.71466666665686,1.8666666666666654,107.01
400.89056000050317,-38.69599999999019,1.8666666666666654,107.02
400.50378666716995,-38.677333333323524,1.8666666666666654,107.03
400.1172000005034,-38.658666666656856,1.8666666666666654,107.04
399.73080000050345,-38.63999999999019,1.8666666666666654,107.05
399.34458666717023,-38.62133333332352,1.8666666666666654,107.06
398.95856000050367,-38.60266666665685,1.8666666666666654,107.07000000000001
398.57272000050375,-38.58399999999018,1.8666666666666654,107.08
398.18706666717054,-38.565333333323515,1.8666666666666654,107.09
397.801600000504,-38.54666666665685,1.8666666666666654,107.10000000000001
397.4163200005041,-38.52799999999018,1.8666666666666654,107.11
